team_id,entry_id,detection_prec,detection_rec,detection_f1,selection_mrr@5,selection_r@1,selection_r@5,generation_bleu-1,generation_bleu-2,generation_bleu-3,generation_bleu-4,generation_meteor,generation_rouge_1,generation_rouge_2,generation_rouge_l
0,0,0.9933296275708727,0.9020696617869762,0.9455026455026454,0.7262874779541448,0.6201058201058202,0.8772486772486772,0.3031136579944249,0.17320146473519762,0.10051151839119879,0.06553346347181949,0.2983006662910895,0.33857928542717075,0.1364435609120362,0.30385885087916276
1,0,0.967032967032967,0.9772841998990409,0.9721315591262867,0.8786258264289893,0.825508410745669,0.9435099171478786,0.3336310664892538,0.1975506130439916,0.11510769936519395,0.0713251715275563,0.3310946530411737,0.37431996405788265,0.1552214459204688,0.333168174319034
1,1,0.967032967032967,0.9772841998990409,0.9721315591262867,0.8786258264289893,0.825508410745669,0.9435099171478786,0.3333101698614059,0.19943903468746646,0.11858523090061411,0.07502257620321424,0.32959716230809527,0.3728092478190035,0.15779918370064983,0.3305328752160966
1,2,0.967032967032967,0.9772841998990409,0.9721315591262867,0.8786258264289893,0.825508410745669,0.9435099171478786,0.3268029114681499,0.19418432590404705,0.11150356478012635,0.06913005897962171,0.32317387930748237,0.36580965250190806,0.15166711756676332,0.32454294843118076
1,3,0.9574257425742574,0.9762746087834427,0.9667583104223944,0.8732150295759387,0.820294926268433,0.9377655586103474,0.32162150032463177,0.1922709250461953,0.11454368811515561,0.07120101318865626,0.32052426027741787,0.36114364922797115,0.15191066105532094,0.3223351732718593
1,4,0.9574257425742574,0.9762746087834427,0.9667583104223944,0.8732150295759387,0.820294926268433,0.9377655586103474,0.3368217283490101,0.20468411300259756,0.1252303729714798,0.08101556125368903,0.33416767915643625,0.3762232433501725,0.16297659906753825,0.33636863724869076
2,0,0.9935760171306209,0.9369005552751136,0.9644063393089115,0.8933662423140208,0.8547674720706677,0.9514159521953754,0.32431031890440065,0.18860915905901646,0.1095919608244165,0.06954959275855485,0.3190919737707798,0.36408988561584166,0.1484519908222395,0.3230369993509099
2,1,0.9935760171306209,0.9369005552751136,0.9644063393089115,0.8944574348315579,0.8584047804624577,0.950896336710834,0.33225406828625864,0.19899812247075035,0.11769034778230854,0.07367175339115767,0.32907465990643386,0.37250960578405534,0.15774648182943088,0.3330063836868676
2,2,0.9935760171306209,0.9369005552751136,0.9644063393089115,0.8914176842469904,0.852689010132502,0.950896336710834,0.33377948081515907,0.1998746190991019,0.11794748746929927,0.07547127839789897,0.3322258964781545,0.375054743947921,0.15834145344590095,0.33294747457089513
2,3,0.9935760171306209,0.9369005552751136,0.9644063393089115,0.8876504719840648,0.8474928552870876,0.946219797349961,0.33071049691230375,0.19905942294858225,0.12025464992730149,0.07811253804142652,0.32989162355842944,0.37199586698376114,0.15967662791865259,0.3322667813743088
